game_id,title,issue_count,issues
537,Dead Pixels II: Straight To Video,0,
538,CROSSNIQ+,0,
539,"PAPER TANKS (indie game, ink, doodle, unity, 2d, a",0,
540,MONUMENTAL FAILURE,0,
541,War Mongrels,2,categories: not sorted alphabetically; genres: not sorted alphabetically
542,63 Days,1,categories: not sorted alphabetically
543,Black Widow: Recharged,0,
544,Beer & Plunder,0,
545,ZeroRanger (Demo),0,
546,Don't Bite Me Bro!,0,
547,Moon Hunters,0,
548,Pyre,0,
550,Joint Drops,0,
551,PING-POMPA,0,
552,Dee | S,0,
554,Control Shift,0,
555,Corpse Box Racers,0,
556,Overthrown,2,categories: not sorted alphabetically; genres: not sorted alphabetically
557,F1 24,2,categories: not sorted alphabetically; genres: not sorted alphabetically
558,Farming Simulator 19,0,
559,Boss Bashing Button Brawlers,0,
560,Taming.io,0,
561,The Cowlitz Gamers' 2nd Adventure,0,
562,Jojo's Bizzare Adventure: Last Stand,0,
563,Space (PC),0,
565,Cyber Cycle,0,
566,Two Interviewees,0,
567,Headquarters: Cold War,2,categories: not sorted alphabetically; genres: not sorted alphabetically
568,Platform Anomaly (co-op),0,
573,Firefighting Space Monkes,0,
574,10 Rounds,0,
575,Serious Sam Evolution,0,
576,TOP HUNTER: RODDY & CATHY,0,
577,Ruins Of Mitriom,0,
578,FroggieChat,0,
579,Toasterball (Prototype),0,
580,The Colosseum Challenge,0,
581,Darkwater,0,
582,The Bus,0,
583,KIZUNA ENCOUNTER: SUPER TAG BATTLE,0,
585,Avatar: Frontiers of Pandora,0,
586,Goat Simulator 3,0,
587,Cosmoteer: Starship Architect & Commander,1,categories: not sorted alphabetically
588,Risk of Rain Returns,0,
589,Clone Drone in the Danger Zone,1,categories: not sorted alphabetically
590,MADNESS: Project Nexus,0,
591,Solasta: Crown of the Magister,1,categories: not sorted alphabetically
592,Jagged Alliance 3,2,categories: not sorted alphabetically; genres: not sorted alphabetically
593,Rabbit and Steel,1,categories: not sorted alphabetically
